record_id,date,day_of_week,warehouse_id,warehouse_name,city,zone,product_id,product_name,category,subcategory,brand,unit_price_inr,cost_price_inr,opening_stock,units_sold,units_returned,return_reason,damaged_units,closing_stock,reorder_level,max_capacity,restock_quantity,availability_status,storage_type,shelf_life_days,expiry_date,supplier_name,delivery_time_mins,customer_rating,revenue_inr,profit_inr
1368,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,136,47,5,Not Returned,2,94,37,250,0,In Stock,Dry Storage,730,2028-06-08,National FMCG Supplies,16.5,3.9,2585,470
1369,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,139,54,0,Not Returned,0,85,30,200,0,In Stock,Cold Storage,5,2026-06-14,HUL Direct Distribution,11.6,4.9,3348,432
1370,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,71,18,1,Wrong Item Delivered,2,54,22,150,0,In Stock,Frozen,365,2027-06-09,HUL Direct Distribution,8.0,4.2,2682,432
1371,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,78,2,0,Not Returned,1,76,30,200,0,In Stock,Dry Storage,4,2026-06-13,FreshFarm Distributors,9.6,4.5,90,18
1372,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,88,30,0,Not Returned,0,58,15,100,0,In Stock,Dry Storage,180,2026-12-06,Amul Cooperative,7.8,4.3,3300,540
1373,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,196,39,6,Not Returned,2,163,45,300,0,In Stock,Dry Storage,240,2027-02-04,Local Vendor Network,10.2,4.7,1950,351
1374,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,68,30,1,Customer Changed Mind,2,39,15,100,0,In Stock,Dry Storage,730,2028-06-08,ITC Supply Chain,14.9,4.1,4050,690
1375,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,50,16,1,Wrong Item Delivered,1,35,15,100,0,In Stock,Cold Storage,15,2026-06-24,National FMCG Supplies,7.7,3.6,560,176
1376,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,76,26,0,Not Returned,2,50,22,150,0,In Stock,Dry Storage,270,2027-03-06,Metro Cash Carry,10.2,3.9,1040,208
1377,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,161,40,1,Not Returned,2,122,37,250,0,In Stock,Dry Storage,365,2027-06-09,ITC Supply Chain,11.2,3.7,9600,1400
1378,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,35,5,1,Customer Changed Mind,1,31,15,100,0,In Stock,Dry Storage,210,2027-01-05,HUL Direct Distribution,6.0,4.8,125,30
1379,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,237,42,1,Not Returned,3,196,37,250,0,In Stock,Dry Storage,730,2028-06-08,ITC Supply Chain,11.2,4.2,3990,714
1380,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,20,8,0,Not Returned,0,12,15,100,30,Low Stock,Dry Storage,120,2026-10-07,National FMCG Supplies,10.1,4.1,520,88
1381,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,107,77,4,Not Returned,1,34,30,200,0,In Stock,Dry Storage,1095,2029-06-08,Local Vendor Network,8.3,4.7,46123,6853
1382,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,177,3,0,Not Returned,1,174,37,250,0,In Stock,Frozen,180,2026-12-06,FreshFarm Distributors,13.3,3.9,630,96
1383,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,113,17,1,Damaged Packaging,2,97,22,150,0,In Stock,Cold Storage,10,2026-06-19,ITC Supply Chain,6.4,4.8,680,238
1384,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,78,40,2,Quality Issue,0,40,22,150,0,In Stock,Dry Storage,120,2026-10-07,National FMCG Supplies,9.4,4.2,11560,1360
1385,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,20,7,0,Not Returned,0,13,15,100,30,Low Stock,Dry Storage,365,2027-06-09,Metro Cash Carry,6.0,4.3,1225,161
1386,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,210,40,3,Customer Changed Mind,3,173,45,300,0,In Stock,Dry Storage,150,2026-11-06,HUL Direct Distribution,6.0,4.2,800,160
1387,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,66,22,1,Not Returned,1,45,22,150,0,In Stock,Dry Storage,365,2027-06-09,Local Vendor Network,6.8,4.2,3630,374
1388,2026-06-09,Tuesday,WH006,Hyderabad Gachibowli Dark Store,Hyderabad,South,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,50,5,0,Not Returned,2,45,30,200,0,In Stock,Dry Storage,730,2028-06-08,ITC Supply Chain,10.9,4.0,140,30
1389,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,22,11,2,Expired Product,0,13,22,150,30,Low Stock,Dry Storage,270,2027-03-06,National FMCG Supplies,13.1,3.7,154,33
1390,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,91,67,2,Customer Changed Mind,0,26,15,100,0,In Stock,Dry Storage,120,2026-10-07,HUL Direct Distribution,17.5,4.4,4355,737
1391,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,30,7,0,Not Returned,1,23,37,250,50,Low Stock,Dry Storage,365,2027-06-09,Reliance Retail Wholesale,9.3,4.1,1680,245
1392,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,68,36,3,Not Returned,1,35,22,150,0,In Stock,Cold Storage,15,2026-06-24,HUL Direct Distribution,9.6,4.1,1260,396
1393,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,33,27,1,Expired Product,0,7,37,250,30,Low Stock,Dry Storage,150,2026-11-06,Reliance Retail Wholesale,13.0,3.7,540,108
1394,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,186,24,3,Customer Changed Mind,1,165,30,200,0,In Stock,Cold Storage,5,2026-06-14,Metro Cash Carry,6.1,4.5,1488,192
1395,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,202,18,0,Not Returned,3,184,37,250,0,In Stock,Cold Storage,10,2026-06-19,FreshFarm Distributors,13.1,4.4,720,252
1396,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,67,30,3,Quality Issue,0,40,30,200,0,In Stock,Cold Storage,7,2026-06-16,HUL Direct Distribution,14.3,4.0,1200,210
1397,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,94,74,2,Not Returned,4,22,22,150,50,Low Stock,Cold Storage,6,2026-06-15,HUL Direct Distribution,15.4,4.5,4070,1258
1398,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,1,1,0,Not Returned,0,0,15,100,0,Out of Stock,Dry Storage,4,2026-06-13,Local Vendor Network,8.9,3.9,45,9
1399,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,175,27,1,Not Returned,1,149,37,250,0,In Stock,Dry Storage,210,2027-01-05,ITC Supply Chain,10.8,4.0,675,162
1400,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,188,76,0,Not Returned,2,112,37,250,0,In Stock,Dry Storage,730,2028-06-08,Amul Cooperative,11.7,4.7,2128,456
1401,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,12,8,0,Not Returned,0,4,15,100,0,Low Stock,Dry Storage,120,2026-10-07,FreshFarm Distributors,12.5,3.6,2312,272
1402,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,60,30,1,Wrong Item Delivered,0,31,30,200,0,In Stock,Dry Storage,365,2027-06-09,FreshFarm Distributors,14.8,4.1,5250,690
1403,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,32,32,2,Quality Issue,1,2,15,100,20,Low Stock,Dry Storage,730,2028-06-08,Amul Cooperative,12.7,4.1,1760,320
1404,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,171,47,3,Expired Product,1,127,37,250,0,In Stock,Frozen,365,2027-06-09,FreshFarm Distributors,10.6,4.8,7003,1128
1405,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,91,33,3,Expired Product,0,61,45,300,0,In Stock,Dry Storage,270,2027-03-06,HUL Direct Distribution,9.2,4.7,1320,264
1406,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,119,16,1,Damaged Packaging,0,104,30,200,0,In Stock,Dry Storage,365,2027-06-09,Local Vendor Network,12.8,4.9,2640,272
1407,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,221,18,0,Not Returned,1,203,45,300,0,In Stock,Frozen,180,2026-12-06,Amul Cooperative,18.2,4.5,3780,576
1408,2026-06-09,Tuesday,WH007,Chennai Velachery Dark Store,Chennai,South,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,40,2,0,Not Returned,2,38,15,100,0,In Stock,Dry Storage,180,2026-12-06,Metro Cash Carry,14.6,3.6,220,36
1409,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,46,2,0,Not Returned,0,44,22,150,0,In Stock,Dry Storage,365,2027-06-09,HUL Direct Distribution,13.2,4.5,330,34
1410,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,41,29,2,Customer Changed Mind,0,14,30,200,0,Low Stock,Dry Storage,365,2027-06-09,HUL Direct Distribution,11.3,4.3,6960,1015
1411,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,56,22,1,Not Returned,0,35,15,100,0,In Stock,Dry Storage,365,2027-06-09,HUL Direct Distribution,11.6,4.3,3850,506
1412,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,126,14,1,Not Returned,1,113,37,250,0,In Stock,Dry Storage,730,2028-06-08,Metro Cash Carry,9.5,3.7,1890,322
1413,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,44,5,0,Not Returned,0,39,15,100,0,In Stock,Dry Storage,240,2027-02-04,Reliance Retail Wholesale,11.9,3.7,250,45
1414,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,46,10,2,Not Returned,0,38,30,200,0,In Stock,Dry Storage,1095,2029-06-08,Amul Cooperative,13.9,3.6,5990,890
1415,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,299,27,1,Quality Issue,2,273,45,300,0,In Stock,Cold Storage,10,2026-06-19,FreshFarm Distributors,12.6,5.0,1080,378
1416,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,292,23,1,Customer Changed Mind,3,270,45,300,0,In Stock,Dry Storage,210,2027-01-05,National FMCG Supplies,12.5,4.6,575,138
1417,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,127,12,0,Not Returned,1,115,22,150,0,In Stock,Dry Storage,180,2026-12-06,Local Vendor Network,8.4,4.1,1320,216
1418,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,36,7,1,Customer Changed Mind,1,30,15,100,0,In Stock,Frozen,365,2027-06-09,Local Vendor Network,11.3,3.6,1043,168
1419,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,54,53,0,Not Returned,0,1,45,300,0,Low Stock,Dry Storage,730,2028-06-08,Metro Cash Carry,9.4,4.4,5035,901
1420,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,10,7,0,Not Returned,0,3,15,100,80,Low Stock,Dry Storage,4,2026-06-13,HUL Direct Distribution,11.9,3.9,315,63
1421,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,160,34,2,Quality Issue,1,128,37,250,0,In Stock,Dry Storage,270,2027-03-06,FreshFarm Distributors,13.0,3.7,476,102
1422,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,11,10,1,Quality Issue,0,2,30,200,20,Low Stock,Frozen,180,2026-12-06,Local Vendor Network,12.2,3.7,2100,320
1423,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,66,27,1,Damaged Packaging,0,40,45,300,80,Low Stock,Dry Storage,150,2026-11-06,Amul Cooperative,14.1,3.7,540,108
1424,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,14,11,0,Not Returned,0,3,30,200,0,Low Stock,Dry Storage,730,2028-06-08,ITC Supply Chain,13.4,4.9,605,110
1425,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,51,16,0,Not Returned,2,35,15,100,0,In Stock,Cold Storage,15,2026-06-24,Metro Cash Carry,6.0,4.8,560,176
1426,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,102,11,0,Not Returned,1,91,22,150,0,In Stock,Cold Storage,7,2026-06-16,FreshFarm Distributors,13.3,4.2,440,77
1427,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,41,24,2,Customer Changed Mind,1,19,22,150,0,Low Stock,Cold Storage,5,2026-06-14,Metro Cash Carry,6.0,4.2,1488,192
1428,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,38,31,1,Customer Changed Mind,0,8,15,100,50,Low Stock,Cold Storage,180,2026-12-06,Amul Cooperative,8.1,4.7,8525,930
1429,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,67,45,2,Not Returned,0,24,45,300,0,Low Stock,Dry Storage,120,2026-10-07,Local Vendor Network,10.2,4.9,2925,495
1430,2026-06-09,Tuesday,WH008,Kolkata Salt Lake Dark Store,Kolkata,East,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,102,62,2,Customer Changed Mind,0,42,45,300,20,Low Stock,Dry Storage,270,2027-03-06,HUL Direct Distribution,9.8,4.2,2480,496
1431,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,42,18,0,Not Returned,0,24,45,300,20,Low Stock,Cold Storage,15,2026-06-25,ITC Supply Chain,12.5,4.3,630,198
1432,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,61,19,0,Not Returned,0,42,15,100,0,In Stock,Cold Storage,10,2026-06-20,Metro Cash Carry,6.0,4.9,760,266
1433,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,76,31,1,Quality Issue,0,46,22,150,0,In Stock,Dry Storage,730,2028-06-09,ITC Supply Chain,10.2,4.6,4185,713
1434,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,145,6,0,Not Returned,2,139,30,200,0,In Stock,Dry Storage,4,2026-06-14,National FMCG Supplies,6.2,3.5,270,54
1435,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,65,13,0,Not Returned,1,52,15,100,0,In Stock,Frozen,180,2026-12-07,ITC Supply Chain,13.3,3.8,2730,416
1436,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,24,14,1,Not Returned,0,11,37,250,50,Low Stock,Dry Storage,365,2027-06-10,Amul Cooperative,6.0,4.8,2450,322
1437,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,65,10,0,Not Returned,2,55,30,200,0,In Stock,Dry Storage,270,2027-03-07,FreshFarm Distributors,15.0,4.0,140,30
1438,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,94,59,4,Expired Product,0,39,15,100,0,In Stock,Cold Storage,6,2026-06-16,Metro Cash Carry,8.4,3.8,3245,1003
1439,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,11,1,0,Not Returned,0,10,37,250,20,Low Stock,Cold Storage,7,2026-06-17,Amul Cooperative,10.8,4.9,40,7
1440,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,150,58,2,Not Returned,1,94,30,200,0,In Stock,Frozen,365,2027-06-10,HUL Direct Distribution,11.7,4.6,8642,1392
1441,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,135,43,2,Expired Product,5,94,45,300,0,In Stock,Cold Storage,5,2026-06-15,Reliance Retail Wholesale,13.6,3.6,2666,344
1442,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,20,19,0,Not Returned,0,1,22,150,0,Low Stock,Dry Storage,365,2027-06-10,National FMCG Supplies,7.4,5.0,3135,323
1443,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,136,2,0,Not Returned,2,134,37,250,0,In Stock,Dry Storage,1095,2029-06-09,FreshFarm Distributors,6.0,3.7,1198,178
1444,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,29,0,0,Not Returned,0,29,37,250,0,Low Stock,Dry Storage,150,2026-11-07,HUL Direct Distribution,11.3,4.1,0,0
1445,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,177,51,3,Not Returned,2,129,37,250,0,In Stock,Dry Storage,180,2026-12-07,HUL Direct Distribution,10.4,4.9,5610,918
1446,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,158,78,4,Wrong Item Delivered,3,84,30,200,0,In Stock,Dry Storage,730,2028-06-09,ITC Supply Chain,8.4,4.2,2184,468
1447,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,22,4,0,Not Returned,0,18,30,200,0,Low Stock,Dry Storage,730,2028-06-09,FreshFarm Distributors,11.9,3.8,220,40
1448,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,28,26,1,Damaged Packaging,0,3,22,150,50,Low Stock,Dry Storage,365,2027-06-10,Reliance Retail Wholesale,12.2,4.4,6240,910
1449,2026-06-10,Wednesday,WH001,Pune Hinjewadi Dark Store,Pune,West,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,26,15,2,Not Returned,0,13,15,100,0,Low Stock,Dry Storage,120,2026-10-08,Reliance Retail Wholesale,9.1,3.6,4335,510
1450,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,51,18,0,Not Returned,0,33,22,150,0,In Stock,Cold Storage,6,2026-06-16,ITC Supply Chain,11.2,4.6,990,306
1451,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,42,0,0,Not Returned,1,42,15,100,0,In Stock,Cold Storage,7,2026-06-17,National FMCG Supplies,11.4,3.7,0,0
1452,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,250,53,1,Customer Changed Mind,1,198,37,250,0,In Stock,Dry Storage,270,2027-03-07,Amul Cooperative,10.6,4.1,2120,424
1453,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,62,25,0,Not Returned,0,37,15,100,0,In Stock,Dry Storage,4,2026-06-14,HUL Direct Distribution,11.6,3.6,1125,225
1454,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,249,29,0,Not Returned,0,220,45,300,0,In Stock,Dry Storage,240,2027-02-05,FreshFarm Distributors,10.9,4.4,1450,261
1455,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,9,6,0,Not Returned,0,3,45,300,30,Low Stock,Dry Storage,730,2028-06-09,Local Vendor Network,20.2,4.3,570,102
1456,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,32,17,0,Not Returned,0,15,45,300,50,Low Stock,Dry Storage,120,2026-10-08,ITC Supply Chain,15.1,4.0,4913,578
1457,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,29,15,1,Quality Issue,0,15,37,250,50,Low Stock,Dry Storage,730,2028-06-09,Local Vendor Network,9.0,3.7,825,150
1458,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,178,55,1,Damaged Packaging,2,124,37,250,0,In Stock,Dry Storage,730,2028-06-09,Metro Cash Carry,13.9,4.5,7425,1265
1459,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,185,24,2,Customer Changed Mind,4,163,30,200,0,In Stock,Cold Storage,5,2026-06-15,Local Vendor Network,8.4,3.9,1488,192
1460,2026-06-10,Wednesday,WH002,Pune Wakad Dark Store,Pune,West,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,59,32,2,Expired Product,0,29,37,250,30,Low Stock,Cold Storage,180,2026-12-07,Local Vendor Network,12.4,3.6,8800,960
